rep,target_prevalence,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to,alpha_used
0,0.5,hgb,unweighted,0.7822,0.1899,0.0342,0.0346,0.775,-0.016,0.5014,0.5,0.2197,0.3819,0.6,
0,0.5,hgb,weighted,0.7822,0.1899,0.0342,0.0346,0.775,-0.016,0.5014,0.5,0.2197,0.3819,0.6,
1,0.05,logreg,unweighted,0.7927,0.0455,0.0099,0.0157,0.963,-0.1,0.0502,0.05,0.0227,0.0007,0.21,
1,0.05,logreg,weighted,0.7919,0.1801,0.3322,0.3322,0.737,-2.907,0.3822,0.05,0.0011,-0.14,0.05,
1,0.05,rf,unweighted,0.7863,0.0441,0.0061,0.0065,0.86,-0.339,0.0503,0.05,0.022,0.003,0.29,
1,0.05,rf,weighted,0.78,0.089,0.1715,0.1715,0.935,-1.978,0.2215,0.05,0.0055,-0.0561,0.05,
1,0.05,hgb,unweighted,0.7601,0.0465,0.0216,0.0234,0.562,-0.957,0.0451,0.05,0.0186,-0.0007,0.18,
1,0.05,hgb,weighted,0.7439,0.1027,0.153,0.153,0.49,-2.255,0.203,0.05,0.0126,-0.0453,0.07,
1,0.1,logreg,unweighted,0.7726,0.0815,0.0158,0.0165,0.971,-0.056,0.1,0.1,0.0407,0.0167,0.4,
1,0.1,logreg,weighted,0.7731,0.1908,0.3112,0.3112,0.862,-2.177,0.4112,0.1,0.0031,-0.0898,0.1,
1,0.1,rf,unweighted,0.7742,0.0806,0.0062,0.0115,0.917,-0.155,0.1006,0.1,0.0436,0.0211,0.33,
1,0.1,rf,weighted,0.7701,0.1331,0.2,0.2,0.945,-1.612,0.3,0.1,0.0153,-0.0425,0.12,
1,0.1,hgb,unweighted,0.7549,0.0849,0.0291,0.0291,0.625,-0.63,0.0962,0.1,0.0396,0.0167,0.32,
1,0.1,hgb,weighted,0.7457,0.1486,0.1942,0.195,0.576,-1.776,0.2942,0.1,0.0227,-0.0318,0.13,
1,0.15,logreg,unweighted,0.7999,0.1072,0.0287,0.0311,0.973,-0.04,0.15,0.15,0.0708,0.0587,0.49,
1,0.15,logreg,weighted,0.8008,0.1772,0.2552,0.2552,0.862,-1.71,0.4052,0.15,0.0169,-0.0244,0.16,
1,0.15,rf,unweighted,0.7988,0.1022,0.0107,0.0179,0.973,-0.033,0.1496,0.15,0.0742,0.0613,0.52,
1,0.15,rf,weighted,0.7955,0.1423,0.182,0.182,1.023,-1.306,0.332,0.15,0.029,-0.0013,0.19,
1,0.15,hgb,unweighted,0.7754,0.1078,0.0245,0.0275,0.714,-0.373,0.148,0.15,0.0672,0.0567,0.52,
1,0.15,hgb,weighted,0.7726,0.1554,0.1831,0.1869,0.708,-1.433,0.3331,0.15,0.035,0.007,0.21,
1,0.2,logreg,unweighted,0.7748,0.1343,0.0292,0.0319,0.978,-0.027,0.2,0.2,0.0855,0.0855,0.56,
1,0.2,logreg,weighted,0.7754,0.19,0.233,0.233,0.897,-1.376,0.433,0.2,0.0243,0.0243,0.23,
1,0.2,rf,unweighted,0.774,0.1321,0.0155,0.017,0.958,-0.048,0.2001,0.2,0.084,0.084,0.53,
1,0.2,rf,weighted,0.7747,0.1658,0.1723,0.1723,1.006,-1.07,0.3723,0.2,0.0429,0.0429,0.32,
1,0.2,hgb,unweighted,0.7545,0.139,0.033,0.0332,0.696,-0.316,0.1961,0.2,0.0794,0.0794,0.52,
1,0.2,hgb,weighted,0.7498,0.1798,0.175,0.175,0.662,-1.154,0.3711,0.2,0.0499,0.0499,0.3,
1,0.3,logreg,unweighted,0.7721,0.167,0.0237,0.0323,0.986,-0.01,0.2999,0.3,0.1267,0.166,0.6,
1,0.3,logreg,weighted,0.7722,0.1914,0.1556,0.1556,0.96,-0.841,0.4556,0.3,0.0724,0.1416,0.6,
1,0.3,rf,unweighted,0.7707,0.1656,0.0169,0.0221,0.972,-0.021,0.3001,0.3,0.129,0.1609,0.6,
1,0.3,rf,weighted,0.7705,0.1821,0.1224,0.1224,0.996,-0.679,0.4224,0.3,0.0983,0.1474,0.6,
1,0.3,hgb,unweighted,0.7513,0.174,0.0383,0.0404,0.737,-0.184,0.2995,0.3,0.1166,0.1542,0.6,
1,0.3,hgb,weighted,0.7524,0.1928,0.1302,0.1302,0.743,-0.744,0.4266,0.3,0.0909,0.1501,0.59,
1,0.4,logreg,unweighted,0.7821,0.1856,0.0345,0.0378,0.994,-0.002,0.3999,0.4,0.1732,0.2711,0.6,
1,0.4,logreg,weighted,0.7821,0.1905,0.077,0.0792,0.971,-0.402,0.477,0.4,0.1654,0.2652,0.6,
1,0.4,rf,unweighted,0.7893,0.1798,0.013,0.0199,1.004,0.002,0.3999,0.4,0.1791,0.2722,0.6,
1,0.4,rf,weighted,0.7894,0.1836,0.0601,0.0603,1.018,-0.324,0.4601,0.4,0.1724,0.2659,0.6,
1,0.4,hgb,unweighted,0.7818,0.1843,0.0265,0.0342,0.81,-0.06,0.3994,0.4,0.1771,0.2708,0.6,
1,0.4,hgb,weighted,0.7805,0.189,0.0675,0.0719,0.81,-0.357,0.4627,0.4,0.1723,0.2672,0.6,
1,0.5,logreg,unweighted,0.7862,0.1891,0.027,0.0301,0.994,0.0,0.4999,0.5,0.2187,0.3836,0.6,
1,0.5,logreg,weighted,0.7862,0.1891,0.027,0.0301,0.994,0.0,0.4999,0.5,0.2187,0.3836,0.6,
1,0.5,rf,unweighted,0.7871,0.187,0.0093,0.0211,1.001,0.004,0.4992,0.5,0.2225,0.385,0.6,
1,0.5,rf,weighted,0.7875,0.1869,0.0097,0.0237,1.003,0.004,0.4992,0.5,0.2207,0.3853,0.6,
1,0.5,hgb,unweighted,0.7748,0.1937,0.0371,0.0432,0.774,-0.005,0.5005,0.5,0.2155,0.3801,0.6,
1,0.5,hgb,weighted,0.7748,0.1937,0.0371,0.0432,0.774,-0.005,0.5005,0.5,0.2155,0.3801,0.6,
2,0.05,logreg,unweighted,0.7628,0.0453,0.0091,0.0136,0.965,-0.09,0.05,0.05,0.0216,0.0015,0.24,
2,0.05,logreg,weighted,0.764,0.1857,0.3466,0.3466,0.8,-2.906,0.3966,0.05,0.0001,-0.1534,0.05,
2,0.05,rf,unweighted,0.7676,0.0439,0.0066,0.0091,0.874,-0.31,0.0503,0.05,0.0225,0.0043,0.24,
2,0.05,rf,weighted,0.7531,0.0888,0.1812,0.1812,0.993,-1.98,0.2312,0.05,0.003,-0.0698,0.05,
2,0.05,hgb,unweighted,0.7269,0.0468,0.0197,0.0202,0.543,-1.047,0.0457,0.05,0.0173,0.0001,0.2,
2,0.05,hgb,weighted,0.7035,0.1047,0.1639,0.1643,0.455,-2.329,0.2139,0.05,0.0086,-0.0553,0.06,
2,0.1,logreg,unweighted,0.7995,0.0792,0.0231,0.0246,0.987,-0.023,0.0999,0.1,0.0477,0.0241,0.42,
2,0.1,logreg,weighted,0.7994,0.1786,0.2927,0.2927,0.842,-2.17,0.3927,0.1,0.0066,-0.0784,0.1,
2,0.1,rf,unweighted,0.7993,0.0774,0.0083,0.0104,0.972,-0.047,0.0999,0.1,0.0473,0.0276,0.38,
2,0.1,rf,weighted,0.7982,0.1272,0.1938,0.1938,1.024,-1.597,0.2938,0.1,0.0168,-0.0273,0.12,
2,0.1,hgb,unweighted,0.7833,0.0806,0.0216,0.0216,0.696,-0.466,0.0948,0.1,0.0434,0.0223,0.41,
2,0.1,hgb,weighted,0.779,0.1395,0.1857,0.1857,0.658,-1.734,0.2857,0.1,0.0279,-0.0231,0.14,
2,0.15,logreg,unweighted,0.7774,0.11,0.0317,0.0321,0.981,-0.03,0.1501,0.15,0.0668,0.056,0.49,
2,0.15,logreg,weighted,0.7777,0.1877,0.2707,0.2707,0.881,-1.714,0.4207,0.15,0.01,-0.0345,0.16,
2,0.15,rf,unweighted,0.7865,0.1047,0.0082,0.0139,0.989,-0.02,0.1504,0.15,0.0662,0.0578,0.6,
2,0.15,rf,weighted,0.785,0.1482,0.1915,0.1915,1.041,-1.319,0.3415,0.15,0.0265,-0.0046,0.19,
2,0.15,hgb,unweighted,0.771,0.1098,0.0257,0.0284,0.737,-0.345,0.1476,0.15,0.0639,0.0528,0.48,
2,0.15,hgb,weighted,0.7703,0.16,0.1901,0.1928,0.718,-1.44,0.3401,0.15,0.0327,0.0048,0.21,
2,0.2,logreg,unweighted,0.7934,0.1295,0.0306,0.0322,0.985,-0.019,0.2,0.2,0.0917,0.0917,0.6,
2,0.2,logreg,weighted,0.7934,0.1821,0.2241,0.2241,0.913,-1.372,0.4241,0.2,0.0302,0.0302,0.24,
2,0.2,rf,unweighted,0.7913,0.1271,0.0155,0.0183,0.984,-0.018,0.2001,0.2,0.0923,0.0923,0.58,
2,0.2,rf,weighted,0.7909,0.1601,0.1679,0.1688,1.012,-1.077,0.3678,0.2,0.055,0.055,0.36,
2,0.2,hgb,unweighted,0.7731,0.1338,0.0292,0.0301,0.755,-0.242,0.1961,0.2,0.0859,0.0859,0.54,
2,0.2,hgb,weighted,0.7669,0.1733,0.1726,0.1737,0.72,-1.161,0.3702,0.2,0.0542,0.0542,0.34,
2,0.3,logreg,unweighted,0.7867,0.1636,0.0321,0.0337,0.991,-0.007,0.3001,0.3,0.1337,0.1719,0.6,
2,0.3,logreg,weighted,0.7868,0.1866,0.1517,0.1517,0.954,-0.842,0.4517,0.3,0.0881,0.1461,0.6,
