cohort,prevalence,n,algo,correction,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
hungarian,0.3605,294,hgb,undersample,0.6453,0.2559,0.17,0.1763,0.373,-0.578,0.4866,0.3605,0.0712,0.2168,0.45
hungarian,0.3605,294,hgb,smote,0.6349,0.2582,0.1729,0.1734,0.26,-0.467,0.4208,0.3605,0.0712,0.1905,0.46
kaggle_cvd70k,0.4914,20000,logreg,none,0.7939,0.1855,0.0274,0.033,0.997,-0.0,0.4914,0.4914,0.2242,0.3742,0.6
kaggle_cvd70k,0.4914,20000,logreg,class_weight,0.7939,0.1855,0.0294,0.0332,0.997,-0.035,0.4979,0.4914,0.2253,0.3742,0.6
kaggle_cvd70k,0.4914,20000,logreg,oversample,0.7938,0.1855,0.0293,0.0333,0.994,-0.034,0.4977,0.4914,0.2253,0.3743,0.6
kaggle_cvd70k,0.4914,20000,logreg,undersample,0.7939,0.1855,0.0293,0.0333,0.997,-0.035,0.4979,0.4914,0.2254,0.3742,0.6
kaggle_cvd70k,0.4914,20000,logreg,smote,0.7938,0.1855,0.0293,0.0333,0.994,-0.034,0.4978,0.4914,0.2251,0.3741,0.6
kaggle_cvd70k,0.4914,20000,rf,none,0.8023,0.1801,0.0082,0.0107,1.026,0.003,0.4911,0.4914,0.2314,0.3776,0.6
kaggle_cvd70k,0.4914,20000,rf,class_weight,0.8021,0.1802,0.0119,0.0154,1.026,-0.028,0.4967,0.4914,0.2326,0.3771,0.6
kaggle_cvd70k,0.4914,20000,rf,oversample,0.8022,0.1801,0.0121,0.0137,1.026,-0.027,0.4965,0.4914,0.2318,0.3774,0.6
kaggle_cvd70k,0.4914,20000,rf,undersample,0.8023,0.1802,0.0133,0.0149,1.025,-0.031,0.4972,0.4914,0.2324,0.3769,0.6
kaggle_cvd70k,0.4914,20000,rf,smote,0.802,0.1803,0.0111,0.0137,1.024,-0.029,0.4968,0.4914,0.231,0.3771,0.6
kaggle_cvd70k,0.4914,20000,hgb,none,0.8024,0.18,0.0064,0.009,1.021,-0.0,0.4916,0.4914,0.2297,0.378,0.6
kaggle_cvd70k,0.4914,20000,hgb,class_weight,0.8021,0.1801,0.0098,0.0103,1.023,-0.034,0.4977,0.4914,0.23,0.3777,0.6
kaggle_cvd70k,0.4914,20000,hgb,oversample,0.802,0.1801,0.0097,0.0114,1.013,-0.031,0.4971,0.4914,0.2298,0.3771,0.6
kaggle_cvd70k,0.4914,20000,hgb,undersample,0.8024,0.18,0.0088,0.0122,1.023,-0.034,0.4977,0.4914,0.2312,0.3773,0.6
kaggle_cvd70k,0.4914,20000,hgb,smote,0.8014,0.1803,0.0091,0.0091,1.007,-0.032,0.4973,0.4914,0.2301,0.3774,0.6
va_longbeach,0.7437,199,logreg,none,0.6408,0.1813,0.051,0.0902,0.742,0.259,0.7434,0.7437,0.1752,0.6796,0.6
va_longbeach,0.7437,199,logreg,class_weight,0.6364,0.2335,0.2219,0.2288,0.78,1.044,0.5226,0.7437,0.0211,0.6709,0.6
va_longbeach,0.7437,199,logreg,oversample,0.6303,0.2365,0.228,0.2329,0.738,1.052,0.5198,0.7437,0.007,0.6771,0.6
va_longbeach,0.7437,199,logreg,undersample,0.6172,0.2351,0.2235,0.2291,0.562,1.045,0.5245,0.7437,-0.0186,0.6721,0.6
