rep,target_prevalence,actual_prevalence,algo,theoretical_shift,shift_median,shift_mean,shift_sd,f_direct_median,f_direct_mean,shift_vs_logodds_slope,clipped_fraction,calib_slope_unw,calib_intercept_unw,calib_slope_w,calib_intercept_w
9,0.1,0.1,hgb,2.1972,1.8132,1.749,0.5143,0.8252,0.796,0.0253,0.00033,0.6261,-0.6404,0.5774,-1.7835
9,0.15,0.15,logreg,1.7346,1.6802,1.6907,0.1034,0.9686,0.9747,0.0914,0.0,0.985,-0.0214,0.9025,-1.7161
9,0.15,0.15,rf,1.7346,1.3683,1.3541,0.2225,0.7888,0.7806,-0.066,0.0,0.9591,-0.0636,1.0191,-1.3164
9,0.15,0.15,hgb,1.7346,1.479,1.4156,0.4469,0.8527,0.8161,0.0424,0.0,0.6909,-0.4171,0.6677,-1.4339
9,0.2,0.2,logreg,1.3863,1.3373,1.3499,0.092,0.9646,0.9738,0.0785,0.0,0.9854,-0.0167,0.9123,-1.3699
9,0.2,0.2,rf,1.3863,1.1287,1.1106,0.1791,0.8142,0.8012,-0.0507,0.0,0.9726,-0.033,1.0113,-1.0827
9,0.2,0.2,hgb,1.3863,1.2305,1.1923,0.3334,0.8876,0.86,0.0067,0.0,0.745,-0.2664,0.7418,-1.1702
9,0.3,0.3,logreg,0.8473,0.8197,0.8312,0.0735,0.9674,0.981,0.0527,0.0,0.9843,-0.0134,0.9332,-0.8408
9,0.3,0.3,rf,0.8473,0.6871,0.6731,0.1346,0.811,0.7945,-0.017,0.0,1.009,0.0046,1.029,-0.6734
9,0.3,0.3,hgb,0.8473,0.75,0.7265,0.2656,0.8852,0.8574,0.0155,0.0,0.787,-0.1292,0.7839,-0.7174
9,0.4,0.4,logreg,0.4055,0.3977,0.4011,0.0261,0.9809,0.9893,0.0134,0.0,0.9915,-0.0034,0.9775,-0.4025
9,0.4,0.4,rf,0.4055,0.3358,0.3252,0.0954,0.8282,0.8021,-0.0147,0.0,1.0179,0.0096,1.035,-0.321
9,0.4,0.4,hgb,0.4055,0.3637,0.3594,0.2286,0.897,0.8864,-0.0092,0.0,0.7905,-0.0666,0.7985,-0.3533
9,0.5,0.5,logreg,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.9917,-0.0008,0.9917,-0.0008
9,0.5,0.5,rf,-0.0,0.0,0.0002,0.0683,,,-0.0004,0.0,1.0088,0.0049,1.0098,0.0046
9,0.5,0.5,hgb,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.7991,-0.005,0.7991,-0.005
