rep,target_prevalence,actual_prevalence,algo,theoretical_shift,shift_median,shift_mean,shift_sd,f_direct_median,f_direct_mean,shift_vs_logodds_slope,clipped_fraction,calib_slope_unw,calib_intercept_unw,calib_slope_w,calib_intercept_w
4,0.2,0.2,hgb,1.3863,1.2133,1.1644,0.3626,0.8752,0.8399,0.0331,0.0,0.7273,-0.2841,0.7246,-1.1612
4,0.3,0.3,logreg,0.8473,0.8251,0.8324,0.0485,0.9738,0.9824,0.0337,0.0,0.9877,-0.0079,0.9555,-0.8373
4,0.3,0.3,rf,0.8473,0.7038,0.686,0.1321,0.8307,0.8096,-0.0257,0.0,0.987,-0.0041,1.0154,-0.6744
4,0.3,0.3,hgb,0.8473,0.7575,0.7409,0.2594,0.894,0.8745,-0.0019,0.0,0.7663,-0.149,0.7662,-0.7247
4,0.4,0.4,logreg,0.4055,0.3986,0.4015,0.0172,0.983,0.9902,0.0112,0.0,0.9906,-0.0031,0.9794,-0.4018
4,0.4,0.4,rf,0.4055,0.3377,0.3276,0.0939,0.8329,0.808,-0.0127,0.0,1.008,0.0052,1.0185,-0.3255
4,0.4,0.4,hgb,0.4055,0.3674,0.356,0.2066,0.9061,0.8781,-0.007,0.0,0.8053,-0.0765,0.8068,-0.3671
4,0.5,0.5,logreg,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.9845,0.0005,0.9845,0.0005
4,0.5,0.5,rf,-0.0,0.0007,0.001,0.0663,,,-0.0009,0.0,1.0107,0.0049,1.0108,0.0043
4,0.5,0.5,hgb,-0.0,0.0,0.0,0.0,,,0.0,0.0,0.8206,-0.0051,0.8206,-0.0051
5,0.05,0.05,logreg,2.9444,2.8035,2.8206,0.215,0.9521,0.9579,0.1804,0.0,0.9869,-0.0323,0.8128,-2.9093
