algo,setting,alpha
logreg,0.001,0.9897
logreg,0.01,0.9884
logreg,0.1,0.9877
logreg,1.0,0.9876
logreg,10.0,0.9876
logreg,100.0,0.9876
rf,3,0.9581
rf,6,0.8594
rf,12,0.68
rf,None,0.6503
hgb,0.02,0.8528
hgb,0.06,0.7608
hgb,0.2,0.6628
