rep,target_prevalence,actual_prevalence,n,algo,arm,auroc,brier,ece10,ece20,calib_slope,calib_intercept,mean_predicted,observed_rate,nb_at_prevalence,nb_at_0.20,nb_positive_up_to
0,0.2,0.2,6000,logreg,unweighted,0.7858,0.1333,0.0401,0.0422,0.989,-0.015,0.2002,0.2,0.091,0.091,0.54
0,0.2,0.2,6000,logreg,weighted,0.7857,0.1866,0.2298,0.2298,0.892,-1.375,0.4298,0.2,0.0257,0.0257,0.23
0,0.2,0.2,6000,logreg,weighted + Platt,0.7856,0.1334,0.0392,0.042,0.999,-0.002,0.2001,0.2,0.0903,0.0903,0.55
0,0.2,0.2,6000,logreg,weighted + isotonic,0.7812,0.1293,0.0088,0.0143,0.955,-0.047,0.1997,0.2,0.0882,0.0882,0.53
0,0.2,0.2,6000,rf,unweighted,0.7889,0.1283,0.0086,0.0116,0.978,-0.027,0.2004,0.2,0.0934,0.0934,0.57
0,0.2,0.2,6000,rf,weighted,0.7861,0.1619,0.1709,0.1709,1.011,-1.086,0.3709,0.2,0.0442,0.0442,0.43
0,0.2,0.2,6000,rf,weighted + Platt,0.786,0.1289,0.0169,0.0175,1.0,0.0,0.2,0.2,0.092,0.092,0.57
0,0.2,0.2,6000,rf,weighted + isotonic,0.7819,0.1288,0.0074,0.0101,0.922,-0.082,0.1995,0.2,0.092,0.092,0.56
0,0.2,0.2,6000,hgb,unweighted,0.7726,0.1344,0.0289,0.0318,0.731,-0.277,0.1979,0.2,0.0887,0.0887,0.53
0,0.2,0.2,6000,hgb,weighted,0.7709,0.1724,0.1723,0.1723,0.719,-1.154,0.3685,0.2,0.0523,0.0523,0.34
0,0.2,0.2,6000,hgb,weighted + Platt,0.7707,0.1331,0.0356,0.039,1.0,0.0,0.1999,0.2,0.0867,0.0867,0.51
0,0.2,0.2,6000,hgb,weighted + isotonic,0.7664,0.1309,0.0071,0.0108,0.956,-0.046,0.1996,0.2,0.0902,0.0902,0.53
0,0.3,0.3,6000,logreg,unweighted,0.7959,0.1607,0.0383,0.042,0.988,-0.009,0.3,0.3,0.1407,0.1762,0.6
0,0.3,0.3,6000,logreg,weighted,0.7961,0.1823,0.1487,0.1487,0.947,-0.84,0.4487,0.3,0.0924,0.1477,0.6
0,0.3,0.3,6000,logreg,weighted + Platt,0.7958,0.1611,0.0387,0.041,0.994,-0.005,0.3001,0.3,0.1399,0.1767,0.6
0,0.3,0.3,6000,logreg,weighted + isotonic,0.7914,0.159,0.0118,0.0214,0.947,-0.036,0.3002,0.3,0.1414,0.1744,0.6
0,0.3,0.3,6000,rf,unweighted,0.8028,0.1549,0.0208,0.0262,0.993,-0.007,0.3003,0.3,0.1459,0.175,0.6
0,0.3,0.3,6000,rf,weighted,0.8025,0.1695,0.1146,0.1152,1.016,-0.676,0.4146,0.3,0.1169,0.1652,0.6
0,0.3,0.3,6000,rf,weighted + Platt,0.8022,0.1557,0.025,0.0281,0.997,-0.003,0.3001,0.3,0.1454,0.1766,0.6
